time,level,sd_cum,sd_tr,cum_true,tr_true,true_sim_diff,q_cum,q_tr,signif,cum_sig,tr_sig,timesig
40,V1,29.17945575800337,44.12019171560816,-138.29864865277932,-170.18055579560067,31.881907142821348,-167.75646488402236,-169.36028747527217,TRUE,40,NA,40
40,V1,29.17945575800337,44.12019171560816,-138.29864865277932,-170.18055579560067,31.881907142821348,-167.75646488402236,-169.36028747527217,TRUE,NA,NA,40
41,V1,29.808286317995663,38.06259508433539,-138.7501585381645,-162.38180186017993,23.631643322015435,-167.88575495947802,-168.90026586690982,TRUE,41,NA,41
41,V1,29.808286317995663,38.06259508433539,-138.7501585381645,-162.38180186017993,23.631643322015435,-167.88575495947802,-168.90026586690982,TRUE,NA,41,41
42,V1,29.196940384536934,44.23160518318483,-138.27228669913256,-165.75929455412046,27.487007854987894,-167.77882025436227,-169.24035074428855,TRUE,42,NA,42
42,V1,29.196940384536934,44.23160518318483,-138.27228669913256,-165.75929455412046,27.487007854987894,-167.77882025436227,-169.24035074428855,TRUE,NA,42,42
43,V1,29.877268935774612,43.20330010084493,-138.8849307727679,-169.91468938219737,31.02975860942948,-167.6698287295393,-170.14344759083596,TRUE,43,NA,43
43,V1,29.877268935774612,43.20330010084493,-138.8849307727679,-169.91468938219737,31.02975860942948,-167.6698287295393,-170.14344759083596,TRUE,NA,43,43
44,V1,30.533660231692995,38.80068421037347,-139.29506944058676,-164.41628580426155,25.12121636367479,-167.26325255551464,-169.40199144928442,TRUE,44,NA,44
44,V1,30.533660231692995,38.80068421037347,-139.29506944058676,-164.41628580426155,25.12121636367479,-167.26325255551464,-169.40199144928442,TRUE,NA,44,44
45,V1,30.638724731533483,42.336591237352735,-138.93643381756812,-161.9572147086319,23.020780891063794,-167.69953988256898,-169.86731213959493,TRUE,45,NA,45
45,V1,30.638724731533483,42.336591237352735,-138.93643381756812,-161.9572147086319,23.020780891063794,-167.69953988256898,-169.86731213959493,TRUE,NA,45,45
46,V1,30.86168050998235,43.8007667536539,-139.45535608730793,-160.39156088770923,20.9362048004013,-167.4887865891157,-169.25255349684411,TRUE,46,NA,46
46,V1,30.86168050998235,43.8007667536539,-139.45535608730793,-160.39156088770923,20.9362048004013,-167.4887865891157,-169.25255349684411,TRUE,NA,46,46
47,V1,31.152349294855647,40.32986432046188,-139.51989736818325,-163.1976175051579,23.677720136974642,-167.48623608220288,-169.32880426720232,TRUE,47,NA,47
47,V1,31.152349294855647,40.32986432046188,-139.51989736818325,-163.1976175051579,23.677720136974642,-167.48623608220288,-169.32880426720232,TRUE,NA,47,47
48,V1,31.25026893940274,41.56517366698232,-139.15794462962467,-168.76482873506063,29.606884105435967,-167.39379068424333,-169.02044831810795,TRUE,48,NA,48
48,V1,31.25026893940274,41.56517366698232,-139.15794462962467,-168.76482873506063,29.606884105435967,-167.39379068424333,-169.02044831810795,TRUE,NA,48,48
49,V1,31.65700427552578,43.32341600676883,-139.7888699273063,-169.4317741540989,29.64290422679258,-167.52412526823258,-169.07810235525125,TRUE,49,NA,49
49,V1,31.65700427552578,43.32341600676883,-139.7888699273063,-169.4317741540989,29.64290422679258,-167.52412526823258,-169.07810235525125,TRUE,NA,NA,49
0,V2,17.683530030750276,17.683530030750276,-79.0616693129633,-79.0616693129633,0,-78.32197023492073,-78.32197023492073,NA,NA,NA,NA
0,V2,17.683530030750276,17.683530030750276,-79.0616693129633,-79.0616693129633,0,-78.32197023492073,-78.32197023492073,NA,NA,NA,NA
1,V2,18.244346578727622,20.108659464247857,-79.25607925972716,-80.76158971885609,1.505510459128928,-77.83787729444518,-78.7218298613767,NA,NA,NA,NA
1,V2,18.244346578727622,20.108659464247857,-79.25607925972716,-80.76158971885609,1.505510459128928,-77.83787729444518,-78.7218298613767,NA,NA,NA,NA
2,V2,19.004861571775127,17.985484668447217,-79.77814055719124,-79.57210941349685,-0.20603114369438913,-77.69941510024486,-78.04379747470782,NA,NA,NA,NA
2,V2,19.004861571775127,17.985484668447217,-79.77814055719124,-79.57210941349685,-0.20603114369438913,-77.69941510024486,-78.04379747470782,NA,NA,NA,NA
3,V2,17.685026723637986,17.990080694567606,-77.7659407489385,-80.725589547989955,2.9596487990514504,-77.28544998876698,-78.53238728024704,NA,NA,NA,NA
3,V2,17.685026723637986,17.990080694567606,-77.7659407489385,-80.725589547989955,2.9596487990514504,-77.28544998876698,-78.53238728024704,NA,NA,NA,NA
4,V2,17.352378269728018,19.31359050843967,-77.30746955366534,-77.94489464883343,0.6374250951680835,-77.17424543694334,-78.78169809261158,NA,NA,NA,NA
4,V2,17.352378269728018,19.31359050843967,-77.30746955366534,-77.94489464883343,0.6374250951680835,-77.17424543694334,-78.78169809261158,NA,NA,4,NA
